检查层级,样本ID,自动状态,问题类型,原视频,给定文本,待查词,建议跳转秒,自动起点秒,自动终点秒,对齐分数,人工判定,修正起点秒,修正终点秒,审查者,审查日期,备注
异常点,-HwX2H8Z4hY$_$6,REVIEW,possible_face_switch,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,"And in part, Al Shanker did too",,2.7,3.2,,,,,,,,
整段,-HwX2H8Z4hY$_$9,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,,,,,,,,,,,
异常点,-HwX2H8Z4hY$_$9,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,the,5.894,6.3937,6.4538,0.043,,,,,,
异常点,-HwX2H8Z4hY$_$9,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,,,,,,,,,,,
整段,-I_e4mIh0yE$_$1,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-I_e4mIh0yE\1.mp4,In the United States we don't punish failure to the degree to which failure is punished in Europe.,,,,,,,,,,,
整段,-I_e4mIh0yE$_$3,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-I_e4mIh0yE\3.mp4,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",,,,,,,,,,,
整段,-iRBcNs9oI8$_$3,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4,"Well, it is the secret of power pose",,,,,,,,,,,
异常点,-iRBcNs9oI8$_$3,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4,"Well, it is the secret of power pose",it,0.724,1.224,1.2642,0.0,,,,,,
异常点,-iRBcNs9oI8$_$3,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4,"Well, it is the secret of power pose",is,1.486,1.9865,2.0267,0.001,,,,,,
异常点,-iRBcNs9oI8$_$3,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4,"Well, it is the secret of power pose",,,,,,,,,,,
整段,-iRBcNs9oI8$_$6,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4,What is a power pose,,,,,,,,,,,
异常点,-iRBcNs9oI8$_$6,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4,What is a power pose,a,1.132,1.6318,1.652,0.0,,,,,,
异常点,-iRBcNs9oI8$_$6,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4,What is a power pose,pose,2.058,2.5585,2.6391,0.0004,,,,,,
异常点,-iRBcNs9oI8$_$6,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4,What is a power pose,,,,,,,,,,,
整段,-iRBcNs9oI8$_$7,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4,"Well, for starters, let's look at the word ""power""",,,,,,,,,,,
异常点,-iRBcNs9oI8$_$7,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4,"Well, for starters, let's look at the word ""power""",for,0.0,0.2804,0.3605,0.0,,,,,,
异常点,-iRBcNs9oI8$_$7,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4,"Well, for starters, let's look at the word ""power""",look,1.903,2.4034,2.5637,0.0,,,,,,
异常点,-iRBcNs9oI8$_$7,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4,"Well, for starters, let's look at the word ""power""",,,,,,,,,,,
整段,-iRBcNs9oI8$_$8,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",,,,,,,,,,,
异常点,-iRBcNs9oI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",and,2.062,2.5619,2.642,0.0001,,,,,,
异常点,-iRBcNs9oI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",if,2.242,2.7421,2.8021,0.0001,,,,,,
异常点,-iRBcNs9oI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong","tell,",3.723,4.2232,4.3433,0.0,,,,,,
异常点,-iRBcNs9oI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",has,4.023,4.5234,4.8036,0.0,,,,,,
异常点,-iRBcNs9oI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",he,6.705,7.2054,7.2455,0.0,,,,,,
异常点,-iRBcNs9oI8$_$8,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",,,,,,,,,,,
整段,-iRBcNs9oI8$_$9,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4,Power is similar to strength,,,,,,,,,,,
异常点,-iRBcNs9oI8$_$9,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4,Power is similar to strength,is,0.0,0.3013,0.3414,0.0001,,,,,,
异常点,-iRBcNs9oI8$_$9,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4,Power is similar to strength,,,,,,,,,,,
整段,-lzEya4AM_4$_$5,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",,,,,,,,,,,
异常点,-lzEya4AM_4$_$5,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",oh,0.862,1.3617,1.4418,0.0933,,,,,,
异常点,-lzEya4AM_4$_$5,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",,,,,,,,,,,
整段,-lzEya4AM_4$_$6,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",,,,,,,,,,,
异常点,-lzEya4AM_4$_$6,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",as,9.274,9.7735,9.8136,0.0051,,,,,,
异常点,-lzEya4AM_4$_$6,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",,,,,,,,,,,
整段,-MeTTeMJBNc$_$0,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\0.mp4,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",,,,,,,,,,,
异常点,-MeTTeMJBNc$_$0,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\0.mp4,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",,,,,,,,,,,
整段,-MeTTeMJBNc$_$13,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\13.mp4,"It just needs to be a simple statement, and then you present the gift.",,,,,,,,,,,
异常点,-MeTTeMJBNc$_$13,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\13.mp4,"It just needs to be a simple statement, and then you present the gift.",,,,,,,,,,,
整段,-MeTTeMJBNc$_$7,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\7.mp4,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",,,,,,,,,,,
异常点,-MeTTeMJBNc$_$7,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\7.mp4,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",,,,,,,,,,,
整段,-mJ2ud6oKI8$_$1,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,,,,,,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,There,0.0,0.0,0.2807,0.0224,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,are,0.0,0.3007,0.3609,0.0259,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,a,0.0,0.3809,0.401,0.037,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,dozen,0.0,0.421,0.6215,0.011,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,or,0.141,0.6415,0.6816,0.014,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,more,0.202,0.7017,0.7819,0.0151,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,hands,0.302,0.8019,5.413,0.0163,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,on,4.933,5.433,5.4731,0.0098,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,techniques,4.993,5.4932,5.6936,0.0178,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,that,5.214,5.7137,5.7939,0.0261,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,we,5.314,5.8139,5.8741,0.016,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,can,5.434,5.9342,5.9944,0.0135,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,do,5.514,6.0144,6.0545,0.0108,,,,,,
异常点,-mJ2ud6oKI8$_$1,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,There are a dozen or more hands on techniques that we can do,,,,,,,,,,,
整段,-mJ2ud6oKI8$_$2,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,,,,,,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,So,0.0,0.0,0.0602,0.0268,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,physical,0.0,0.0803,0.4015,0.0169,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,therapists,0.0,0.4417,2.2084,0.0248,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,and,1.829,2.3289,2.4895,0.0143,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,chiropractors,2.351,2.8508,4.6979,0.0167,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,will,4.238,4.738,4.8384,0.0093,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,do,4.359,4.8585,4.8986,0.0113,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,joint,4.419,4.9187,5.0191,0.0167,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,manipulations,4.539,5.0392,5.3002,0.0185,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,and,4.82,5.3202,5.3805,0.0142,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,mobilizations,4.901,5.4005,5.6816,0.0188,,,,,,
异常点,-mJ2ud6oKI8$_$2,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,,,,,,,,,,,
整段,-mJ2ud6oKI8$_$6,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\6.mp4,They are all very safe,,,,,,,,,,,
整段,-mJ2ud6oKI8$_$8,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\8.mp4,Sometimes we have to stretch that joint that is already irritated,,,,,,,,,,,
异常点,-mJ2ud6oKI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\8.mp4,Sometimes we have to stretch that joint that is already irritated,we,0.723,1.2233,1.3637,0.0001,,,,,,
异常点,-mJ2ud6oKI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\8.mp4,Sometimes we have to stretch that joint that is already irritated,stretch,1.526,2.0255,2.3464,0.0177,,,,,,
异常点,-mJ2ud6oKI8$_$8,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\8.mp4,Sometimes we have to stretch that joint that is already irritated,joint,2.047,2.5469,2.7876,0.0,,,,,,
